ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15
3.218081721177699,2.808370731462437,-0.6249615845872474,-1.0043066573738924,-1.4680354088616698,-1.9775419245634427,-2.1661463131251057,-2.7546957683697113,2.579024132750318,2.101867237093102,1.8325413909674266,1.5058407470268766,0.8431313137555976,0.403664777301238,0.1309818951332031,-0.2364609589578031
3.3244387267015494,2.806997398536017,-0.8379807807297077,-1.1797880868608763,-1.6839538634043498,-2.0349167223783176,-2.3681788458562067,-2.736384662684113,2.633957449807113,2.2144805370595315,1.90502285097292,1.25146897054444,0.9511668373006277,0.5562573246812239,0.11785893605852431,-0.4529897836900032
3.090972129210171,2.807149991083397,-0.8215007856126693,-1.0969303336335439,-1.4657465206509699,-2.0716915262968945,-2.2512929545631377,-2.5656336021659087,2.588790055782637,2.1636672187819963,1.9097532199416996,1.2246126822055625,1.0518779185714184,0.654374332646555,0.05026043756919053,-0.30131279159429714
3.1240847119916277,2.9862936417075003,-0.8892518766493831,-1.041997016576749,-1.6699153490453913,-1.8707271413974529,-2.3077521970937327,-2.7449298453373925,2.520733779651163,2.2895560703704847,1.8102628790499486,1.282750442757337,0.8332127981758986,0.5547313992074241,-0.008487693172104072,-0.37348906650503044
3.3650283443046254,2.816915914115716,-0.6469349114099653,-1.0267377618387503,-1.5779020429752597,-2.041783387010417,-2.3487995923389486,-2.8174113053428855,2.521496742388063,2.288793107633585,1.7014643927680186,1.4870718636991382,0.8699876020944751,0.45508846576829326,0.1830159537897783,-0.2981083480993174
3.2780505922980336,2.904198851217068,-0.6042089981435692,-1.0502370141352682,-1.7076057082482476,-1.8838501004721317,-2.2186381494238208,-2.8293135240385245,2.584975242098137,2.1513072224442173,1.6978021716308989,1.241245269869981,1.0112883009683422,0.6310276728974171,0.033017479715252124,-0.20197504324992627
3.2368506045054373,2.923425512186946,-0.7871674624521724,-1.0618340477361472,-1.5264783545082043,-2.0475819038108565,-2.205667782896522,-2.693353564322957,2.4949456391439457,2.198000541942493,1.8206391722717876,1.4283237329578438,0.8670883436942554,0.5731950974404024,0.10305745896266567,-0.37333647395765046
3.2127409820193997,2.8575055317187923,-0.8514089248991465,-1.2235821479589322,-1.6641168322449518,-2.0977848518988718,-2.255870730984537,-2.749965399400932,2.6121367155317747,2.218600535838791,1.8856435974556616,1.448313356664622,0.8969964829807326,0.5255862226578468,0.19613891286445712,-0.323896488606535
3.261875782275755,2.7342107534357636,-0.7937289419895118,-1.2728695407626678,-1.6239849922840155,-1.9761685916370229,-2.3846588409732457,-2.8305342644175644,2.5619337674437594,2.108733901725201,1.6900199517145196,1.3556896804049705,0.7965905868047019,0.622329897696758,0.14364707656574194,-0.2515676211484217
3.1134032336750286,2.9643203148847825,-0.7650415430820745,-1.0844177447483851,-1.6972294150264087,-1.9638085952992443,-2.1899507505163833,-2.820005378648345,2.622055231111474,2.207461279880052,1.8009547336597695,1.2967889571162958,0.8861624121167536,0.6258395262864975,-0.006503990056164255,-0.4029394281493678
3.2557720803805554,2.87856330325723,-0.8833007673015636,-1.2336532560860114,-1.57362945164862,-2.043156719936837,-2.4641595581582183,-2.618888401201524,2.4093412200637734,2.135132412421939,1.641648114195064,1.2478067494073204,0.7968957718994618,0.5634291744080833,0.19720706069611701,-0.43559423328868474
